artist,song,lyric_corpus,sentiment
임영웅,다시 만날 수 있을까,떳떳하게 일어나 널 다시 찾아갈,분노
임영웅,다시 만날 수 있을까,그때 난 부끄러웠다,기쁨
임영웅,다시 만날 수 있을까,뜨거운 꿈만 꾸었다,기쁨
임영웅,다시 만날 수 있을까,하염없이 눈물만 흘려볼까,분노
임영웅,다시 만날 수 있을까,네가 없이 사는 법을 알지 못해서,분노
임영웅,다시 만날 수 있을까,붙잡을 마음이야 없었겠냐마는,기쁨
임영웅,다시 만날 수 있을까,쏟아지는 날 그 언젠가,기쁨
임영웅,다시 만날 수 있을까,무엇을 해야만 할까,분노
임영웅,다시 만날 수 있을까,보낼 수밖에 없었고,분노
임영웅,다시 만날 수 있을까,시린 바람처럼,기쁨
임영웅,다시 만날 수 있을까,그리운 마음이 서럽게 흘러넘쳐,기쁨
임영웅,다시 만날 수 있을까,그리 좋던 예전처럼 그때처럼,기쁨
임영웅,다시 만날 수 있을까,너를 위해 해 줄 것이 하나 없어서,분노
임영웅,다시 만날 수 있을까,순간순간을 울었다,기쁨
임영웅,다시 만날 수 있을까,후회로 가득한 한숨 자락이,기쁨
임영웅,다시 만날 수 있을까,되돌아갈 수 있을까,슬픔
임영웅,다시 만날 수 있을까,다시 만날 수 있을까,불안
임영웅,다시 만날 수 있을까,둘이 함께 했던 순간순간이,기쁨
임영웅,다시 만날 수 있을까,다시 우리가 만나면,불안
임영웅,다시 만날 수 있을까,가슴 치는 날 그 언젠가,기쁨
임영웅,다시 만날 수 있을까,우리 만날 수 있을까,기쁨
아이유,겨울잠,너는 아직 혼자 쉬고 싶은가 봐,분노
아이유,겨울잠,가장 좋았던 문장 아래 밑줄 그어,기쁨
아이유,겨울잠,긴 잠 실컷 자고 나오면,기쁨
아이유,겨울잠,움츠려 있을 너의 그 마른 어깨를,기쁨
아이유,겨울잠,다 가기 전에 널 보여줘야 하는데,불안
아이유,겨울잠,새삼 차가운 연말의 공기가,분노
아이유,겨울잠,내게 기대어 조각잠을 자던,기쁨
아이유,겨울잠,음 꼭 봐야 하는데,기쁨
아이유,겨울잠,나의 혼잣말을 담았어,슬픔
아이유,겨울잠,가끔은 철없이 보고 싶어,기쁨
아이유,겨울잠,그 모습 그대로 잠들었구나,기쁨
아이유,겨울잠,너의 머리맡에 두었어,분노
아이유,겨울잠,너 없이 보는 첫 봄이 여름이,분노
아이유,겨울잠,줄곧 잘 참아내다가도,불안
아이유,겨울잠,때 이른 봄 몇 송이 꺾어다,기쁨
아이유,겨울잠,그때쯤엔 예쁘게 피어 있겠다,기쁨
아이유,겨울잠,나 만나면 읽어줄래,슬픔
아이유,겨울잠,무슨 꿈을 꾸니,분노
아이유,겨울잠,새하얀 겨울 한 숨 속에다,분노
아이유,겨울잠,별 띄운 여름 한 컵 따라다,기쁨
아이유,겨울잠,깨어나면 이야기해 줄 거지,기쁨
아이유,겨울잠,뼈 틈 사이사이 시려와,기쁨
아이유,겨울잠,언제나의 아침처럼 음,기쁨
아이유,겨울잠,괜히 왜 이렇게 예쁘니,기쁨
아이유,겨울잠,너의 방 문 앞에 두었어,분노
아이유,겨울잠,빼곡한 가을 한 장 접어다,불안
아이유,겨울잠,꼭 안아줘야 하는데,기쁨
아이유,겨울잠,금세 다 녹아버릴 텐데,분노
아이유,겨울잠,너의 우체통에 넣었어,분노
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,넌 나를 설레이게 해,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,오늘 너에게 고백하겠어,슬픔
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,그 모든 순간에 내가 있음 해,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,참아온 진심인 거야,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,취해서 하는 말이 아냐,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,요즘 내 일상인 듯해,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,널 많이 사랑하나 봐,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,하루 종일 아무것도 안 해도,분노
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,유난히 날씨가 좋은 날,분노
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,너랑 있는 게 젤 좋아,분노
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,고마워 내 인생에 나타나줘서,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,이렇게 날 안아줘서,분노
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,어쩌면 너도 나와 같은 꿈 꿀까,상처
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,늦은 밤 헤어지긴 너무 아쉬워,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,네가 살아가는 순간에,분노
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,매일 마주 보며 눈뜨는 하루,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,영화 속에서만 보던 일들이,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,온 세상이 모두 잠든 것 같아,기쁨
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,달빛도 하늘 아래 우리를 비추고,기쁨
테이,Monologue,너무 많이 울려서,분노
테이,Monologue,이거면 됐어요,분노
테이,Monologue,너무 투명해서 때론 불안했죠,분노
테이,Monologue,많이 부족한 나를 사랑한 그대,분노
테이,Monologue,감히 받을 수 없는 사랑,기쁨
테이,Monologue,나 같은 사람이 두 번 다시,슬픔
테이,Monologue,서툰 내 사랑에 지쳐 떠난 그대,기쁨
테이,Monologue,울지 마요 그대,분노
테이,Monologue,없다고 했죠,불안
테이,Monologue,그댈 위한 나의 사랑인 걸요,기쁨
테이,Monologue,그댄 여리고 너무 착해서,기쁨
테이,Monologue,더 이상은 그대 불행하지 않도록,분노
테이,Monologue,잘 생각해 봐요,분노
테이,Monologue,이거면 됐어요 더 이상은,분노
테이,Monologue,제멋대로 살아온 나를,기쁨
테이,Monologue,그대 때문에 행복했어요,기쁨
테이,Monologue,이젠 남이라고,분노
테이,Monologue,다신 나 같은 사람 만나지 마요,불안
테이,Monologue,잡을 용기조차 낼 수 없었죠,슬픔
테이,Monologue,또 해 버렸죠,슬픔
테이,Monologue,나쁜 일들만 가득했던 우리,슬픔
테이,Monologue,다 잊어야 해요,불안
테이,Monologue,싫단 말도 잘 못하는데,기쁨
테이,Monologue,감당할 수 없을 것 같죠,기쁨
테이,Monologue,나를 허락해 주지 마요,슬픔
테이,Monologue,다 잊었다는 거짓말,불안
테이,Monologue,너무나 쉽게 잊혀졌다고,분노
테이,Monologue,나 이쯤에서 없어지는 게,슬픔
테이,Monologue,그대 불행하지 않도록,기쁨
테이,Monologue,고마웠어요 나를 사랑해 줘서,기쁨
테이,Monologue,내 마음에 그대란 사람,기쁨
테이,Monologue,미안해요 내 사랑아,기쁨
테이,Monologue,혹시 찾아가도 두 번 다시,기쁨
